OrderDate,DeliveryCountry,Manufacturer,Gender,Size,Colour,Style,Count
22-11-2016,Italy,Zara,M,48,Black,Relaxed,19
21-9-2016,United Kingdom,Wrangled Jeans,F,48,Yellow,Skinny,42
30-4-2016,Ice Land,Wrangled Jeans,M,34,White,Long Sleeve,21
31-10-2016,Sweden,Denzil Jeans,F,34,White,Boot leg,61
1-2-2016,Germany,The Hipster Jeans Company,M,28,Blue,Boot leg,65
22-1-2016,Ice Land,Wrangled Jeans,M,19,Blue,Boot leg,41
25-5-2016,Ireland,Zara,F,48,Red,Short Sleeve,51
23-3-2016,Ice Land,Zara,F,34,Yellow,Long Sleeve,24
2-9-2016,United Kingdom,Lee,M,38,Red,Relaxed,33
31-3-2016,Germany,Zara,F,19,Yellow,Long Sleeve,44
20-8-2016,Italy,The Hipster Jeans Company,M,34,Black,Long Sleeve,27
16-10-2016,Italy,Zara,F,19,Yellow,Short Sleeve,27
6-6-2016,Ireland,Denzil Jeans,F,34,Blue,Boot leg,39
3-6-2016,Germany,Armani,M,22,Blue,Short Sleeve,41
19-3-2016,Italy,Lee,F,19,Red,Long Sleeve,37
4-5-2016,Ireland,The Hipster Jeans Company,F,19,White,Relaxed,40
19-11-2016,Ice Land,Wrangled Jeans,M,19,Red,Boot leg,30
30-9-2016,Ireland,Zara,M,39,Yellow,Long Sleeve,49
2-10-2016,Italy,Armani,F,34,Blue,Short Sleeve,35
1-8-2016,Italy,Denzil Jeans,F,27,White,Boot leg,53
13-9-2016,Ice Land,Zara,F,27,Blue,Boot leg,31
28-3-2016,Germany,Denzil Jeans,F,34,Black,Long Sleeve,43
6-4-2016,Italy,The Hipster Jeans Company,F,34,Yellow,Short Sleeve,46
22-12-2016,United Kingdom,Armani,M,31,Black,Skinny,49
4-5-2016,Ireland,Wrangled Jeans,M,28,Black,Boot leg,43
15-2-2016,Italy,Lee,F,34,Black,Short Sleeve,29
23-6-2016,Sweden,Lee,F,38,White,Boot leg,34
1-12-2016,Italy,Zara,F,48,White,Short Sleeve,48
26-4-2016,Ice Land,Lee,M,36,Black,Skinny,25
12-1-2016,United Kingdom,The Hipster Jeans Company,M,32,White,Long Sleeve,46
17-4-2016,Germany,The Hipster Jeans Company,F,37,Black,Relaxed,46
24-5-2016,Sweden,Wrangled Jeans,M,34,Blue,Skinny,49
19-5-2016,Italy,The Hipster Jeans Company,F,36,White,Relaxed,36
11-7-2016,Ice Land,Wrangled Jeans,F,34,Yellow,Boot leg,64
29-9-2016,Sweden,Zara,M,38,White,Short Sleeve,19
20-12-2016,United Kingdom,Zara,F,19,Yellow,Short Sleeve,20
17-10-2016,United Kingdom,Zara,F,32,Yellow,Relaxed,61
6-11-2016,Ireland,The Hipster Jeans Company,F,39,Yellow,Short Sleeve,39
14-9-2016,United Kingdom,The Hipster Jeans Company,M,31,White,Skinny,45
7-6-2016,Germany,Zara,F,19,Yellow,Short Sleeve,20
13-9-2016,Italy,The Hipster Jeans Company,F,19,Black,Long Sleeve,63
11-10-2016,Sweden,Armani,M,21,White,Long Sleeve,30
1-7-2016,Germany,Zara,F,48,Blue,Boot leg,46
29-5-2016,Germany,Wrangled Jeans,M,19,Yellow,Boot leg,42
14-1-2016,United Kingdom,Wrangled Jeans,M,30,Blue,Boot leg,22
11-2-2016,Ireland,Denzil Jeans,M,33,Black,Boot leg,42
9-1-2016,Ice Land,Armani,M,35,Yellow,Long Sleeve,52
2-5-2016,Ireland,Denzil Jeans,M,38,Yellow,Short Sleeve,37
14-5-2016,Italy,The Hipster Jeans Company,F,19,Blue,Long Sleeve,53
4-10-2016,United Kingdom,The Hipster Jeans Company,M,33,Blue,Relaxed,52
16-3-2016,United Kingdom,Lee,F,34,Yellow,Relaxed,58
30-1-2016,Ice Land,The Hipster Jeans Company,M,33,Black,Skinny,41
19-3-2016,Sweden,Zara,M,34,Red,Short Sleeve,25
19-1-2016,Germany,Armani,F,19,Red,Boot leg,24
23-12-2016,United Kingdom,The Hipster Jeans Company,M,34,Red,Long Sleeve,18
9-1-2016,United Kingdom,Zara,M,19,Yellow,Boot leg,29
6-9-2016,Ireland,Denzil Jeans,M,19,Red,Short Sleeve,21
13-2-2016,Germany,Lee,F,48,Yellow,Relaxed,27
1-9-2016,Italy,Lee,M,27,Black,Boot leg,26
30-12-2016,Ireland,Denzil Jeans,F,32,Black,Relaxed,51
22-12-2016,Ireland,Wrangled Jeans,M,19,Black,Boot leg,48
27-11-2016,Germany,Zara,M,34,Black,Relaxed,55
